Year,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Net Generation (GWh),20479.2,20423.6,21523.8,22095.8,22157.8,22478.0,23016.1,23594.9,24879.2,26444.7,27557.0,27992.1,28955.4,29324.2,30626.6,30849.3,31786.6,32729.6,32229.2,33676.3,34347.0,35575.5,35869.7,36305.7,36733.6,36775.7,38200.1,38343.9,39482.3,39528.5,41529.6,41528.2,42064.8,42422.9,42394.1,42172.4,43570.9,43270.5,43150.8,42389.0,42701.7,43388.2,42938.7,43310.5,43475.3,43888.4,43242.7,43249.6,43525.6,43560.4,43995.5
Hydro,15037.0,16497.0,15344.0,14573.0,15503.0,18259.0,19171.0,19483.0,18121.0,19554.0,20173.0,19510.8,21876.7,21709.3,22733.0,22333.3,22953.4,22665.5,20881.7,23258.0,25578.7,27259.4,25921.1,23025.6,25066.1,22690.3,24190.6,21464.4,24626.0,23388.8,26969.9,23096.5,23339.7,23406.3,22126.1,23977.5,24481.5,24861.8,22669.9,22830.1,24125.1,24339.3,25709.7,24930.3,26042.6,25397.3,24078.0,23979.2,26071.5,26380.8,23604.8
Geothermal,1358.0,1350.0,1290.0,1217.0,1239.0,1118.0,1206.0,1141.0,1158.0,1173.0,1294.0,1164.6,1233.8,1228.4,1237.2,1705.5,2010.9,2158.0,2131.0,2247.0,2101.0,2038.9,2038.4,2130.4,2385.5,2635.8,2756.0,2677.8,2654.7,2594.6,2631.1,2980.7,3177.3,3353.7,3966.1,4589.3,5558.6,5884.1,6083.6,6448.7,7195.1,7748.6,7737.9,7779.1,7729.3,7793.4,7833.6,7968.3,8013.4,7732.4,8740.8
Biogas,7.6,41.3,52.6,52.6,52.6,56.2,57.4,91.1,102.4,104.6,105.3,105.3,105.3,105.8,105.9,105.9,130.8,151.5,155.6,155.6,162.4,172.2,145.8,139.4,136.7,116.1,102.8,100.9,130.9,167.3,185.9,190.1,218.1,210.5,202.6,215.0,217.5,218.2,211.0,202.7,227.8,244.0,259.9,263.1,261.5,267.0,271.4,263.0,270.8,295.0,307.0
Wood,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,632.2,639.8,639.8,639.8,639.8,637.8,663.6,656.3,629.2,654.6,657.6,662.2,619.6,624.4,620.3,626.6,695.0,574.6,413.0,350.8,408.0,446.4,472.6,481.3,479.6,499.1,502.2,488.2,532.8,547.9,522.1,518.8,496.1,485.1,462.8,472.4,459.6,483.2,438.8,403.0,441.9
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,1.0,1.0,8.2,13.5,21.8,38.6,119.0,137.6,153.9,145.1,357.9,608.2,616.0,920.6,1047.9,1461.7,1619.9,1936.5,2057.2,2000.5,2188.8,2340.5,2307.6,2064.4,2050.9,2248.9,2294.4,2606.0,2834.8,3204.2,3917.6
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,3.4,3.6,3.8,4.1,4.8,6.6,18.6,36.5,56.2,76.3,99.7,126.6,159.5,208.4,282.7,371.1,601.2
Oil,1943.0,787.0,1280.0,729.0,199.0,48.0,3.0,3.0,15.0,146.0,5.0,47.6,6.3,9.1,6.8,0.5,9.2,23.6,192.1,59.0,20.0,47.9,14.6,0.0,1.0,0.0,0.0,0.0,0.0,19.1,22.7,3.6,22.6,1.2,123.8,9.0,2.0,2.1,3.4,3.4,3.1,1.4,3.1,5.5,10.9,3.9,13.0,25.8,7.0,4.6,24.9
Coal,1297.0,1046.0,1097.0,910.0,742.1,391.7,425.5,389.5,421.5,650.5,728.5,717.5,555.6,845.1,722.8,446.2,620.5,450.7,1170.6,695.8,646.6,841.7,876.3,1534.7,1365.3,1678.2,1445.2,1979.6,1925.9,3700.6,4464.4,5471.1,5166.8,2953.9,4515.5,3081.7,1928.9,2027.9,3317.5,2237.2,1831.3,1753.0,979.5,1133.1,1479.4,2118.1,2158.9,3020.2,1251.4,1031.2,2243.0
Gas,208.6,50.6,1800.6,3954.6,3762.6,1945.6,1493.6,1812.6,4381.8,4137.0,4553.3,5743.8,4475.2,4723.9,5118.3,5557.4,5335.5,6561.4,7005.5,6542.6,5117.1,4489.5,6182.6,8775.1,7074.2,8927.4,8828.7,11361.9,9484.7,9077.6,6406.7,8655.8,8980.5,11039.1,9873.0,8282.2,9199.3,7801.4,8235.3,8067.6,6542.2,6357.1,5337.8,6527.0,5288.9,5415.4,5934.7,4652.5,4315.5,4105.6,4087.8
Waste Heat,18.4,42.1,50.0,50.0,50.0,50.0,50.0,65.0,70.0,70.0,65.6,62.7,62.7,62.7,62.7,62.6,62.7,62.7,62.7,62.7,62.7,62.7,63.0,62.7,62.7,62.7,62.7,47.2,93.1,84.5,83.0,75.8,71.3,52.9,56.1,53.3,57.2,46.3,35.3,44.2,47.4,49.0,51.0,46.5,49.3,45.4,39.6,43.1,39.7,32.7,26.5
